	QEq	Динамический QEq	Avarage
188	0,2855	0,27692	0,2834
189	0,2855	0,27733	0,28336
190	0,2855	0,27776	0,28334
191	0,2855	0,27824	0,28331
192	0,2855	0,27866	0,28328
193	0,2855	0,2791	0,28326
194	0,2855	0,27957	0,28324
195	0,2855	0,28005	0,28323
196	0,2855	0,28054	0,28321
197	0,2855	0,28108	0,2832
198	0,2855	0,28156	0,28319
199	0,2855	0,28204	0,28319
200	0,2855	0,28254	0,28319
201	0,2855	0,28308	0,28318
202	0,2855	0,28361	0,28319
203	0,2855	0,28415	0,28319
204	0,2855	0,28469	0,2832
205	0,2855	0,28522	0,28321
206	0,2855	0,28576	0,28322
207	0,2855	0,28629	0,28324
208	0,2855	0,28683	0,28325
209	0,2855	0,28737	0,28327
210	0,2855	0,2879	0,2833
211	0,2855	0,28844	0,28332
212	0,2855	0,28897	0,28335
213	0,2855	0,28951	0,28338
214	0,2855	0,29005	0,28341
215	0,2855	0,29058	0,28344
216	0,2855	0,29112	0,28348
217	0,2855	0,29166	0,28351
218	0,2855	0,29219	0,28355
219	0,2855	0,29273	0,28359
220	0,2855	0,29327	0,28364
221	0,2855	0,29377	0,28368
222	0,2855	0,29425	0,28373
223	0,2855	0,29472	0,28378
224	0,2855	0,2952	0,28383
225	0,2855	0,29568	0,28389
226	0,2855	0,29614	0,28394
227	0,2855	0,29656	0,28399
228	0,2855	0,29697	0,28405
229	0,2855	0,29739	0,28411
230	0,2855	0,29778	0,28417
231	0,2855	0,29814	0,28423
232	0,2855	0,2985	0,28429
233	0,2855	0,29884	0,28435
234	0,2855	0,29914	0,28442
235	0,2855	0,29944	0,28448
236	0,2855	0,29971	0,28455
237	0,2855	0,29995	0,28461
238	0,2855	0,30021	0,28468
239	0,2855	0,30046	0,28474
240	0,2855	0,3007	0,28481
241	0,2855	0,30091	0,28488
242	0,2855	0,30109	0,28494
243	0,2855	0,30126	0,28501
244	0,2855	0,30138	0,28508
245	0,2855	0,3015	0,28514
246	0,2855	0,30157	0,28521
247	0,2855	0,30168	0,28528
248	0,2855	0,30175	0,28534
249	0,2855	0,30181	0,28541
250	0,2855	0,30184	0,28548
251	0,2855	0,30184	0,28554
252	0,2855	0,30181	0,28561
253	0,2855	0,30175	0,28567
254	0,2855	0,3017	0,28573
255	0,2855	0,30164	0,28579
256	0,2855	0,30156	0,28586
257	0,2855	0,30144	0,28592
258	0,2855	0,3013	0,28598
259	0,2855	0,30112	0,28603
260	0,2855	0,30093	0,28609
261	0,2855	0,30074	0,28615
262	0,2855	0,30056	0,2862
263	0,2855	0,30032	0,28626
264	0,2855	0,30008	0,28631
265	0,2855	0,29979	0,28636
266	0,2855	0,29949	0,28641
267	0,2855	0,29916	0,28646
268	0,2855	0,29885	0,2865
269	0,2855	0,29854	0,28655
270	0,2855	0,29818	0,28659
271	0,2855	0,29782	0,28663
272	0,2855	0,29742	0,28667
273	0,2855	0,29701	0,28671
274	0,2855	0,29659	0,28675
275	0,2855	0,29611	0,28678
276	0,2855	0,29567	0,28681
277	0,2855	0,29526	0,28684
278	0,2855	0,29478	0,28687
279	0,2855	0,29431	0,2869
280	0,2855	0,29383	0,28692
281	0,2855	0,29332	0,28695
282	0,2855	0,29279	0,28697
283	0,2855	0,29225	0,28699
284	0,2855	0,29171	0,287
285	0,2855	0,29117	0,28702
286	0,2855	0,29058	0,28703
287	0,2855	0,28998	0,28704
288	0,2855	0,28942	0,28705
289	0,2855	0,28888	0,28705
290	0,2855	0,28834	0,28706
291	0,2855	0,28781	0,28706
292	0,2855	0,28727	0,28706
293	0,2855	0,28673	0,28706
294	0,2855	0,28616	0,28706
295	0,2855	0,28556	0,28705
296	0,2855	0,28497	0,28705
297	0,2855	0,28437	0,28704
298	0,2855	0,28378	0,28703
299	0,2855	0,28323	0,28701
300	0,2855	0,28269	0,287
301	0,2855	0,28215	0,28698
302	0,2855	0,28162	0,28696
303	0,2855	0,28108	0,28694
304	0,2855	0,28054	0,28692
305	0,2855	0,28001	0,2869
306	0,2855	0,27943	0,28688
307	0,2855	0,27885	0,28685
308	0,2855	0,27832	0,28682
309	0,2855	0,27778	0,28679
310	0,2855	0,27724	0,28676
311	0,2855	0,27671	0,28673
312	0,2855	0,27622	0,2867
313	0,2855	0,27575	0,28666
314	0,2855	0,27527	0,28663
315	0,2855	0,27482	0,28659
316	0,2855	0,2744	0,28655
317	0,2855	0,27399	0,28651
318	0,2855	0,27356	0,28647
319	0,2855	0,27314	0,28643
320	0,2855	0,27273	0,28638
321	0,2855	0,27235	0,28634
322	0,2855	0,27199	0,2863
323	0,2855	0,27165	0,28625
324	0,2855	0,27135	0,2862
325	0,2855	0,27105	0,28616
326	0,2855	0,27078	0,28611
327	0,2855	0,27048	0,28606
328	0,2855	0,27022	0,28601
329	0,2855	0,26998	0,28597
330	0,2855	0,26976	0,28592
331	0,2855	0,26958	0,28587
332	0,2855	0,26941	0,28582
333	0,2855	0,26928	0,28577
334	0,2855	0,26911	0,28572
335	0,2855	0,26899	0,28567
336	0,2855	0,26887	0,28562
337	0,2855	0,26881	0,28557
338	0,2855	0,26875	0,28552
339	0,2855	0,26875	0,28547
340	0,2855	0,26874	0,28542
341	0,2855	0,26873	0,28537
342	0,2855	0,26873	0,28532
343	0,2855	0,26877	0,28527
344	0,2855	0,26883	0,28523
345	0,2855	0,26893	0,28518
346	0,2855	0,26905	0,28513
347	0,2855	0,26919	0,28509
348	0,2855	0,26934	0,28504
349	0,2855	0,26947	0,285
350	0,2855	0,26965	0,28495
351	0,2855	0,26983	0,28491
352	0,2855	0,27006	0,28487
353	0,2855	0,2703	0,28483
354	0,2855	0,27057	0,28479
355	0,2855	0,27086	0,28475
356	0,2855	0,27116	0,28471
357	0,2855	0,27151	0,28467
358	0,2855	0,27182	0,28464
359	0,2855	0,27211	0,2846
360	0,2855	0,27247	0,28457
361	0,2855	0,27283	0,28454
362	0,2855	0,27318	0,2845
363	0,2855	0,27358	0,28447
364	0,2855	0,274	0,28444
365	0,2855	0,27442	0,28442
366	0,2855	0,27484	0,28439
367	0,2855	0,2753	0,28437
368	0,2855	0,27578	0,28434
369	0,2855	0,27626	0,28432
370	0,2855	0,27673	0,2843
371	0,2855	0,27721	0,28428
372	0,2855	0,27771	0,28426
373	0,2855	0,27824	0,28425
374	0,2855	0,27878	0,28423
375	0,2855	0,27931	0,28422
376	0,2855	0,27985	0,28421
377	0,2855	0,28039	0,2842
378	0,2855	0,28092	0,28419
379	0,2855	0,28146	0,28418
380	0,2855	0,282	0,28418
381	0,2855	0,28253	0,28417
382	0,2855	0,28307	0,28417
383	0,2855	0,28361	0,28417
384	0,2855	0,28414	0,28417
385	0,2855	0,28472	0,28417
386	0,2855	0,28532	0,28417
387	0,2855	0,28587	0,28418
388	0,2855	0,28641	0,28418
389	0,2855	0,28694	0,28419
390	0,2855	0,28748	0,2842
391	0,2855	0,28801	0,28421
392	0,2855	0,28853	0,28422
393	0,2855	0,28901	0,28423
394	0,2855	0,28955	0,28424
395	0,2855	0,29009	0,28426
396	0,2855	0,2906	0,28428
397	0,2855	0,29108	0,28429
398	0,2855	0,29155	0,28431
399	0,2855	0,29201	0,28433
400	0,2855	0,29247	0,28435
401	0,2855	0,29295	0,28437
402	0,2855	0,2934	0,28439
403	0,2855	0,29381	0,28442
404	0,2855	0,29423	0,28444
405	0,2855	0,2946	0,28447
406	0,2855	0,29502	0,28449
407	0,2855	0,29541	0,28452
408	0,2855	0,29577	0,28455
409	0,2855	0,29611	0,28458
410	0,2855	0,29641	0,2846
411	0,2855	0,29676	0,28463
412	0,2855	0,29706	0,28466
413	0,2855	0,29736	0,28469
414	0,2855	0,29761	0,28473
415	0,2855	0,29784	0,28476
416	0,2855	0,29809	0,28479
417	0,2855	0,29833	0,28482
418	0,2855	0,29852	0,28485
419	0,2855	0,2987	0,28489
420	0,2855	0,29883	0,28492
421	0,2855	0,29901	0,28495
422	0,2855	0,29914	0,28499
423	0,2855	0,29926	0,28502
424	0,2855	0,29933	0,28506
425	0,2855	0,29939	0,28509
426	0,2855	0,29945	0,28512
427	0,2855	0,29951	0,28516
428	0,2855	0,29952	0,28519
429	0,2855	0,29952	0,28522
430	0,2855	0,29947	0,28526
431	0,2855	0,29943	0,28529
432	0,2855	0,29939	0,28532
433	0,2855	0,29933	0,28535
434	0,2855	0,29924	0,28539
435	0,2855	0,29912	0,28542
436	0,2855	0,29899	0,28545
437	0,2855	0,29881	0,28548
438	0,2855	0,29867	0,28551
439	0,2855	0,2985	0,28554
440	0,2855	0,29832	0,28557
441	0,2855	0,29813	0,2856
442	0,2855	0,29789	0,28563
443	0,2855	0,29765	0,28565
444	0,2855	0,29738	0,28568
445	0,2855	0,29708	0,2857
446	0,2855	0,29678	0,28573
447	0,2855	0,29646	0,28575
448	0,2855	0,29616	0,28578
449	0,2855	0,29586	0,2858
450	0,2855	0,29556	0,28582
451	0,2855	0,29523	0,28584
452	0,2855	0,29487	0,28586
453	0,2855	0,29451	0,28588
454	0,2855	0,29415	0,2859
455	0,2855	0,2938	0,28592
456	0,2855	0,29342	0,28593
457	0,2855	0,29301	0,28595
458	0,2855	0,29259	0,28596
459	0,2855	0,29217	0,28598
460	0,2855	0,29176	0,28599
461	0,2855	0,29134	0,286
462	0,2855	0,29092	0,28601
463	0,2855	0,2905	0,28602
464	0,2855	0,29003	0,28603
465	0,2855	0,28955	0,28604
466	0,2855	0,28908	0,28604
467	0,2855	0,2886	0,28605
468	0,2855	0,28812	0,28605
469	0,2855	0,28765	0,28606
470	0,2855	0,28717	0,28606
471	0,2855	0,28672	0,28606
472	0,2855	0,2863	0,28606
473	0,2855	0,28585	0,28606
474	0,2855	0,28537	0,28606
475	0,2855	0,2849	0,28606
476	0,2855	0,28443	0,28605
477	0,2855	0,28401	0,28605
478	0,2855	0,2836	0,28604
479	0,2855	0,28314	0,28604
480	0,2855	0,28269	0,28603
481	0,2855	0,28228	0,28602
482	0,2855	0,28186	0,28601
483	0,2855	0,28147	0,286
484	0,2855	0,28106	0,28599
485	0,2855	0,28065	0,28598
486	0,2855	0,28027	0,28597
487	0,2855	0,27991	0,28596
488	0,2855	0,27954	0,28595
489	0,2855	0,27919	0,28593
490	0,2855	0,27883	0,28592
491	0,2855	0,27852	0,2859
492	0,2855	0,2782	0,28589
493	0,2855	0,27788	0,28587
494	0,2855	0,27759	0,28585
495	0,2855	0,27732	0,28584
496	0,2855	0,27705	0,28582
497	0,2855	0,27679	0,2858
498	0,2855	0,27655	0,28578
499	0,2855	0,27634	0,28576
500	0,2855	0,27612	0,28574
501	0,2855	0,27591	0,28572
502	0,2855	0,27574	0,2857
503	0,2855	0,2756	0,28568
504	0,2855	0,27542	0,28566
505	0,2855	0,27529	0,28564
506	0,2855	0,27517	0,28562
507	0,2855	0,27508	0,2856
508	0,2855	0,27496	0,28558
509	0,2855	0,2749	0,28556
510	0,2855	0,27485	0,28554
511	0,2855	0,27482	0,28552
512	0,2855	0,27478	0,2855
513	0,2855	0,27478	0,28548
514	0,2855	0,27479	0,28546
515	0,2855	0,27482	0,28544
516	0,2855	0,27484	0,28541
517	0,2855	0,2749	0,28539
518	0,2855	0,27498	0,28537
519	0,2855	0,27508	0,28535
520	0,2855	0,27515	0,28533
521	0,2855	0,27527	0,28532
522	0,2855	0,27539	0,2853
523	0,2855	0,27557	0,28528
524	0,2855	0,27572	0,28526
525	0,2855	0,27588	0,28524
526	0,2855	0,27606	0,28522
527	0,2855	0,27624	0,28521
528	0,2855	0,27648	0,28519
529	0,2855	0,27672	0,28517
530	0,2855	0,27695	0,28516
531	0,2855	0,27719	0,28514
532	0,2855	0,27743	0,28513
533	0,2855	0,27768	0,28512
534	0,2855	0,27798	0,2851
535	0,2855	0,27828	0,28509
536	0,2855	0,27857	0,28508
537	0,2855	0,2789	0,28507
538	0,2855	0,27925	0,28505
539	0,2855	0,27961	0,28504
540	0,2855	0,27991	0,28504
541	0,2855	0,28021	0,28503
542	0,2855	0,28051	0,28502
543	0,2855	0,28085	0,28501
544	0,2855	0,2812	0,285
545	0,2855	0,28156	0,285
546	0,2855	0,28192	0,28499
547	0,2855	0,28228	0,28499
548	0,2855	0,28263	0,28498
549	0,2855	0,28299	0,28498
550	0,2855	0,28335	0,28498
551	0,2855	0,28371	0,28497
552	0,2855	0,28411	0,28497
553	0,2855	0,28453	0,28497
554	0,2855	0,28495	0,28497
555	0,2855	0,28534	0,28497
556	0,2855	0,2857	0,28497
557	0,2855	0,28606	0,28497
558	0,2855	0,28642	0,28498
559	0,2855	0,28677	0,28498
560	0,2855	0,28713	0,28498
561	0,2855	0,28748	0,28499
562	0,2855	0,28784	0,28499
563	0,2855	0,28819	0,285
564	0,2855	0,28855	0,28501
565	0,2855	0,28886	0,28501
566	0,2855	0,28916	0,28502
567	0,2855	0,2895	0,28503
568	0,2855	0,28981	0,28504
569	0,2855	0,29011	0,28505
570	0,2855	0,29041	0,28505
571	0,2855	0,29065	0,28506
572	0,2855	0,29095	0,28507
573	0,2855	0,29122	0,28509
574	0,2855	0,29146	0,2851
575	0,2855	0,29168	0,28511
576	0,2855	0,29192	0,28512
577	0,2855	0,29216	0,28513
578	0,2855	0,29234	0,28514
579	0,2855	0,29253	0,28516
580	0,2855	0,29271	0,28517
581	0,2855	0,29289	0,28518
582	0,2855	0,29302	0,2852
583	0,2855	0,29318	0,28521
584	0,2855	0,2933	0,28522
585	0,2855	0,29341	0,28524
586	0,2855	0,29349	0,28525
587	0,2855	0,29359	0,28527
588	0,2855	0,29365	0,28528
589	0,2855	0,29369	0,2853
590	0,2855	0,29375	0,28531
591	0,2855	0,29378	0,28532
592	0,2855	0,29378	0,28534
593	0,2855	0,29377	0,28535
594	0,2855	0,29377	0,28537
595	0,2855	0,29372	0,28538
596	0,2855	0,29368	0,28539
597	0,2855	0,29362	0,28541
598	0,2855	0,29355	0,28542
599	0,2855	0,29343	0,28544
600	0,2855	0,29335	0,28545
601	0,2855	0,29323	0,28546
602	0,2855	0,2931	0,28547
603	0,2855	0,29294	0,28549
604	0,2855	0,2928	0,2855
605	0,2855	0,29263	0,28551
606	0,2855	0,29243	0,28552
607	0,2855	0,29224	0,28553
608	0,2855	0,29205	0,28554
609	0,2855	0,29182	0,28555
610	0,2855	0,29158	0,28556
611	0,2855	0,29133	0,28557
612	0,2855	0,2911	0,28558
613	0,2855	0,29084	0,28559
614	0,2855	0,29054	0,2856
615	0,2855	0,29026	0,28561
616	0,2855	0,28998	0,28561
617	0,2855	0,28968	0,28562
618	0,2855	0,28938	0,28563
619	0,2855	0,28905	0,28563
620	0,2855	0,2887	0,28564
621	0,2855	0,28839	0,28564
622	0,2855	0,28809	0,28565
623	0,2855	0,28774	0,28565
624	0,2855	0,28738	0,28565
625	0,2855	0,28703	0,28565
626	0,2855	0,28667	0,28566
627	0,2855	0,28631	0,28566
628	0,2855	0,28592	0,28566
629	0,2855	0,28556	0,28566
630	0,2855	0,2852	0,28566
631	0,2855	0,28484	0,28565
632	0,2855	0,28448	0,28565
633	0,2855	0,28413	0,28565
634	0,2855	0,28377	0,28565
635	0,2855	0,28341	0,28564
636	0,2855	0,28305	0,28564
637	0,2855	0,2827	0,28564
638	0,2855	0,28234	0,28563
639	0,2855	0,28198	0,28562
640	0,2855	0,28162	0,28562
641	0,2855	0,28127	0,28561
642	0,2855	0,28095	0,2856
643	0,2855	0,28065	0,2856
644	0,2855	0,28035	0,28559
645	0,2855	0,28006	0,28558
646	0,2855	0,27971	0,28557
647	0,2855	0,27938	0,28556
648	0,2855	0,27908	0,28555
649	0,2855	0,27878	0,28554
650	0,2855	0,27848	0,28553
651	0,2855	0,27822	0,28552
652	0,2855	0,27798	0,28551
653	0,2855	0,27774	0,28549
654	0,2855	0,2775	0,28548
655	0,2855	0,27726	0,28547
656	0,2855	0,27702	0,28546
657	0,2855	0,27683	0,28544
658	0,2855	0,27665	0,28543
659	0,2855	0,27648	0,28542
