"Time";"Ox";"H1";"H2"
16.5;-0.9506;0.4954;0.4553
16.6;-0.9511;0.4942;0.4569
16.7;-0.9513;0.4928;0.4585
16.8;-0.9512;0.4912;0.46
16.9;-0.9509;0.4894;0.4615
17;-0.9504;0.4875;0.4629
17.1;-0.9496;0.4854;0.4643
17.2;-0.9486;0.4831;0.4655
17.3;-0.9474;0.4807;0.4667
17.4;-0.946;0.4781;0.4678
17.5;-0.9443;0.4755;0.4689
17.6;-0.9425;0.4727;0.4698
17.7;-0.9406;0.4699;0.4707
17.8;-0.9384;0.4669;0.4715
17.9;-0.9362;0.4639;0.4722
18;-0.9338;0.4609;0.4729
18.1;-0.9314;0.4579;0.4735
18.2;-0.9288;0.4548;0.474
18.3;-0.9263;0.4518;0.4745
18.4;-0.9237;0.4488;0.4749
18.5;-0.9211;0.4458;0.4752
18.6;-0.9185;0.443;0.4756
18.7;-0.916;0.4402;0.4758
18.8;-0.9135;0.4375;0.4761
18.9;-0.9112;0.4349;0.4763
19;-0.9089;0.4324;0.4765
19.1;-0.9068;0.4302;0.4766
19.2;-0.9048;0.428;0.4768
19.3;-0.903;0.4261;0.4769
19.4;-0.9013;0.4243;0.477
19.5;-0.8999;0.4228;0.4772
19.6;-0.8987;0.4214;0.4773
19.7;-0.8977;0.4203;0.4774
19.8;-0.8969;0.4194;0.4775
19.9;-0.8963;0.4187;0.4777
20;-0.896;0.4182;0.4778
