-0.8961,0.4181,0.4780
-0.8965,0.4185,0.4780
-0.8971,0.4191,0.4780
-0.8979,0.4199,0.4780
-0.8990,0.4209,0.4781
-0.9003,0.4222,0.4781
-0.9018,0.4237,0.4781
-0.9034,0.4254,0.4781
-0.9053,0.4272,0.4781
-0.9073,0.4293,0.4780
-0.9095,0.4315,0.4780
-0.9118,0.4339,0.4779
-0.9142,0.4364,0.4778
-0.9166,0.4390,0.4776
-0.9192,0.4417,0.4774
-0.9217,0.4445,0.4772
-0.9243,0.4474,0.4769
-0.9269,0.4504,0.4765
-0.9295,0.4534,0.4761
-0.9320,0.4564,0.4756
-0.9344,0.4594,0.4750
-0.9367,0.4624,0.4744
-0.9390,0.4653,0.4737
-0.9411,0.4682,0.4728
-0.9430,0.4710,0.4720
-0.9448,0.4738,0.4710
-0.9463,0.4764,0.4699
-0.9477,0.4790,0.4687
-0.9489,0.4814,0.4675
-0.9498,0.4837,0.4662
-0.9505,0.4858,0.4648
-0.9510,0.4877,0.4633
-0.9512,0.4895,0.4617
-0.9512,0.4912,0.4601
-0.9510,0.4926,0.4584
-0.9505,0.4938,0.4566
-0.9498,0.4949,0.4548
-0.9488,0.4958,0.4530
-0.9476,0.4965,0.4512
-0.9462,0.4969,0.4493
-0.9446,0.4972,0.4474
-0.9428,0.4973,0.4455
-0.9409,0.4972,0.4437
-0.9388,0.4970,0.4418
-0.9366,0.4965,0.4400
-0.9342,0.4959,0.4383
-0.9318,0.4952,0.4366
-0.9293,0.4943,0.4350
-0.9267,0.4932,0.4335
-0.9241,0.4920,0.4321
-0.9215,0.4907,0.4308
-0.9190,0.4893,0.4296
-0.9164,0.4878,0.4286
-0.9140,0.4863,0.4277
-0.9116,0.4846,0.4270
-0.9093,0.4829,0.4264
-0.9071,0.4811,0.4260
-0.9051,0.4794,0.4258
-0.9033,0.4775,0.4258
-0.9016,0.4757,0.4259
-0.9002,0.4739,0.4263
-0.8989,0.4721,0.4268
-0.8978,0.4703,0.4275
-0.8970,0.4685,0.4285
-0.8964,0.4668,0.4296
-0.8961,0.4651,0.4309
-0.8960,0.4635,0.4325
-0.8961,0.4620,0.4342
-0.8965,0.4605,0.4360
-0.8971,0.4591,0.4381
-0.8980,0.4577,0.4403
-0.8991,0.4565,0.4426
-0.9004,0.4553,0.4451
-0.9019,0.4542,0.4477
-0.9036,0.4532,0.4504
-0.9054,0.4523,0.4532
-0.9075,0.4514,0.4561
-0.9096,0.4506,0.4590
-0.9119,0.4500,0.4620
-0.9143,0.4493,0.4650
-0.9168,0.4488,0.4680
-0.9194,0.4483,0.4711
-0.9219,0.4479,0.4740
-0.9246,0.4475,0.4770
-0.9271,0.4472,0.4799
-0.9297,0.4470,0.4827
-0.9322,0.4468,0.4854
-0.9346,0.4466,0.4880
-0.9369,0.4465,0.4905
-0.9392,0.4463,0.4928
-0.9412,0.4462,0.4950
-0.9431,0.4462,0.4970
-0.9449,0.4461,0.4988
-0.9465,0.4460,0.5004
-0.9478,0.4460,0.5018
-0.9490,0.4459,0.5030
-0.9499,0.4459,0.5040
-0.9506,0.4458,0.5048
-0.9510,0.4457,0.5053
-0.9513,0.4457,0.5056
-0.9512,0.4456,0.5056
-0.9510,0.4455,0.5054
-0.9504,0.4454,0.5050
-0.9497,0.4453,0.5043
-0.9487,0.4453,0.5035
-0.9475,0.4452,0.5023
-0.9461,0.4451,0.5010
-0.9445,0.4450,0.4995
-0.9427,0.4450,0.4977
-0.9407,0.4449,0.4958
-0.9386,0.4449,0.4937
-0.9364,0.4449,0.4915
-0.9340,0.4450,0.4891
-0.9316,0.4450,0.4865
-0.9291,0.4452,0.4839
-0.9265,0.4454,0.4811
-0.9239,0.4456,0.4783
-0.9213,0.4459,0.4754
-0.9187,0.4463,0.4725
-0.9162,0.4467,0.4695
-0.9137,0.4472,0.4665
-0.9114,0.4478,0.4636
-0.9091,0.4485,0.4606
-0.9070,0.4493,0.4577
-0.9050,0.4501,0.4548
-0.9031,0.4511,0.4521
-0.9015,0.4521,0.4494
-0.9000,0.4533,0.4468
-0.8988,0.4545,0.4443
-0.8978,0.4558,0.4420
-0.8970,0.4572,0.4398
-0.8964,0.4587,0.4377
-0.8961,0.4603,0.4358
-0.8960,0.4619,0.4341
-0.8961,0.4636,0.4325
-0.8966,0.4654,0.4312
-0.8972,0.4672,0.4300
-0.8981,0.4691,0.4290
-0.8992,0.4710,0.4282
-0.9005,0.4729,0.4276
-0.9020,0.4748,0.4272
-0.9037,0.4768,0.4269
-0.9056,0.4787,0.4269
-0.9076,0.4806,0.4270
